Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593	104	-120	21	3593
105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617	105	-222	24	3617
106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655	106	-236	38	3655
107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668	107	-13	13	3668
108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683	108	-15	15	3683
109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710	109	-126	27	3710
110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745	110	-233	35	3745
111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758	111	-13	13	3758
112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773	112	-15	15	3773
113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788	113	-15	15	3788
114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805	114	-17	17	3805
115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818	115	-13	13	3818
116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856	116	-335	38	3856
117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869	117	-13	13	3869
118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886	118	-17	17	3886
119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900	119	-113	14	3900
120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929	120	-29	29	3929
121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951	121	-121	22	3951
122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964	122	-13	13	3964
123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978	123	-14	14	3978
124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993	124	-15	15	3993
125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006	125	-13	13	4006
126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019	126	-13	13	4019
127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033	127	-113	14	4033
128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046	128	-13	13	4046
129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059	129	-13	13	4059
130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074	130	-15	15	4074
131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100	131	-224	26	4100
132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120	132	-20	20	4120
133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134	133	-14	14	4134
134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147	134	-13	13	4147
135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160	135	-13	13	4160
136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173	136	-13	13	4173
137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217	137	-341	44	4217
138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231	138	-113	14	4231
139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244	139	-13	13	4244
140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261	140	-17	17	4261
141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278	141	-17	17	4278
142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293	142	-15	15	4293
143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306	143	-13	13	4306
144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319	144	-13	13	4319
145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345	145	-125	26	4345
146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359	146	-14	14	4359
147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372	147	-13	13	4372
148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394	148	-22	22	4394
149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407	149	-13	13	4407
150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420	150	-13	13	4420
151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437	151	-17	17	4437
152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456	152	-19	19	4456
153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485	153	-227	29	4485
154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498	154	-13	13	4498
155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513	155	-15	15	4513
156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540	156	-126	27	4540
157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553	157	-13	13	4553
