Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890	117	-17	17	3890
118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913	118	-122	23	3913
119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936	119	-122	23	3936
120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951	120	-15	15	3951
121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964	121	-13	13	3964
122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979	122	-15	15	3979
123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994	123	-15	15	3994
124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007	124	-13	13	4007
125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024	125	-17	17	4024
126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053	126	-227	29	4053
127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084	127	-229	31	4084
128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101	128	-17	17	4101
129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114	129	-13	13	4114
130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143	130	-29	29	4143
131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167	131	-123	24	4167
132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182	132	-15	15	4182
133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201	133	-19	19	4201
134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214	134	-13	13	4214
135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239	135	-124	25	4239
136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256	136	-17	17	4256
137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281	137	-124	25	4281
138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294	138	-13	13	4294
139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307	139	-13	13	4307
140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320	140	-13	13	4320
141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333	141	-13	13	4333
142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346	142	-13	13	4346
143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363	143	-17	17	4363
144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376	144	-13	13	4376
145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397	145	-120	21	4397
146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415	146	-18	18	4415
147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428	147	-13	13	4428
148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443	148	-15	15	4443
149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460	149	-17	17	4460
150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476	150	-16	16	4476
151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489	151	-13	13	4489
152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504	152	-15	15	4504
153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521	153	-17	17	4521
154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534	154	-13	13	4534
155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549	155	-15	15	4549
156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562	156	-13	13	4562
157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575	157	-13	13	4575
158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588	158	-13	13	4588
159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601	159	-13	13	4601
160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614	160	-13	13	4614
161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640	161	-26	26	4640
162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661	162	-21	21	4661
163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676	163	-15	15	4676
164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689	164	-13	13	4689
165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702	165	-13	13	4702
166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715	166	-13	13	4715
167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728	167	-13	13	4728
168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743	168	-15	15	4743
169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771	169	-127	28	4771
170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786	170	-15	15	4786
171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811	171	-124	25	4811
172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830	172	-19	19	4830
173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851	173	-21	21	4851
174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864	174	-13	13	4864
175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879	175	-15	15	4879
176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892	176	-13	13	4892
177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905	177	-13	13	4905
